# article 92
92, 0, 0, 0, 0, 
1, 10, 100, 1000, 0
6.3, 2.1, 0.73, 0.34 ,0
#
#
# data_sheet 103 ?
92, 0, 0, 0, 0 
1, 10, 100, 1000, 1e6
6.3, 2.1, 0.76, 0.34, 0.22
#
#
# article 26
26, 0, 0, 0, 0
1, 10, 100, 1000, 0
14, 4.7, 1.6, 0.54, 0
#
#
# data_sheet 33
26, 0, 0, 0, 0
1, 10, 100, 1000, 1e6
14, 4.5, 1.5, 0.57, 0.17
#
#
# article 5
5, 0, 0, 0, 0
1, 10, 100, 1000, 0
30, 11, 4, 1.4, 0
#
#
# data_sheet 4.6
5, 0, 0, 0, 0
1, 10, 100, 1000, 1e6 
30, 12, 4.5, 1.4, 0.21
#
#
# data_sheet 236
236, 0, 0, 0, 0
1, 10, 100, 1000, 1e6
5.4, 1.7, 0.52, 0.24, 0.18
#
#
# data_sheet 1.8 pF
1.8, 0, 0, 0, 0
1, 10, 100, 1000, 1e6
100, 30, 10, 2.7, 0.4

